f,m,method,err,time,name,n,t
$\cos(tA)$,94,PA,2.796354120905702e-14,0.3522740000007616,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,96,PA,2.7964409332354824e-14,0.37652800000068964,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,98,PA,2.804822938788118e-14,0.3973949999999604,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,100,PA,2.7867957238553583e-14,0.43514300000060757,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,102,PA,2.7867957238553583e-14,0.321101000001363,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,104,PA,2.7867957238553583e-14,0.42306900000039604,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,106,PA,2.7867957238553583e-14,0.29358399999910034,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,108,PA,2.7867957238553583e-14,0.36846300000070187,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,110,PA,2.7867957238553583e-14,0.3459689999999682,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,112,PA,2.7867957238553583e-14,0.6240060000000085,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,114,PA,2.809758578564543e-14,0.40800900000067486,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,116,PA,2.7854510555769564e-14,0.3851859999995213,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,118,PA,2.8368847767101593e-14,0.40050800000062736,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,120,PA,2.7994092001589054e-14,0.39093900000079884,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,5,RA-AAA5,1.4113725442051692,1.7422740000001795,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,6,RA-AAA5,1.369250725181648,1.8030860000017128,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,8,RA-AAA5,1.1207581123942008,2.0199309999989055,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,10,RA-AAA5,1.1623865651332503,1.8779690000010305,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,12,RA-AAA5,1.1918392237627924,1.8322800000005373,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,14,RA-AAA5,0.905117299109356,1.893517000000429,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,16,RA-AAA5,0.9972274866940197,2.1819110000014916,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,18,RA-AAA5,0.9696356363199454,2.0650750000004336,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,20,RA-AAA5,0.8095528438978625,2.1304270000000542,$H_{LE}^{h=0.04}$,888,2e-05
$\cos(tA)$,22,RA-AAA5,0.8702326628425614,2.0720130000008794,$H_{LE}^{h=0.04}$,888,2e-05
